#Cepheid data from H0 KP, filtered and reformatted Huib van Langevelde, May 2020
#Data retrieved from https://old.ipac.caltech.edu/H0kp/H0KeyProj.html
#As described in Freedman et al., 2001 ApJ, Vol 553, 1, p47, 2001  and references therein
# for source NGC1425; from file n1425cepheidr.dat
ID   P     mv     
C01   26.7   26.74
C02   41.8   26.22
C03   21.3   26.60
C04   27.4   26.57
C05   48.7   26.52
C06   31.7   26.35
C08   44.1   25.40
C09   31.9   26.03
C11   40.7   25.95
C12   19.8   26.95
C13   53.8   25.96
C14   62.7   26.28
C15   19.7   26.63
C16   37.5   26.60
C17   28.2   26.50
C18   22.4   26.58
C19   21.3   26.69
C20   16.3   27.35
C22   54.0   26.07
C23   25.7   26.63
C24   17.9   26.82
C25   26.6   26.54
C26   19.7   26.85
C27   28.6   26.29
C28   56.7   25.61
C30   19.6   26.80
C31   60.8   25.57
C32   26.5   26.46
C33   46.3   25.92
