#Cepheid data from H0 KP, filtered and reformatted Huib van Langevelde, May 2020
#Data retrieved from https://old.ipac.caltech.edu/H0kp/H0KeyProj.html
#As described in Freedman et al., 2001 ApJ, Vol 553, 1, p47, 2001  and references therein
# for source NGC3351; from file n3351_tab7r.data
ID   P     mv     
c01   43.0   24.42
c02   41.0   24.41
c03   37.9   24.95
c04   36.8   24.38
c05   35.0   25.00
c06   34.5   24.57
c07   34.5   25.92
c08   32.0   24.44
c09   32.0   23.96
c10   27.0   26.18
c11   25.7   24.96
c12   24.7   25.42
c13   24.4   24.97
c14   23.9   25.76
c15   23.4   24.79
c16   21.6   25.81
c17   21.4   26.63
c18   20.8   26.32
c19   19.5   25.26
c20   19.5   25.60
c21   19.0   25.49
c22   17.5   25.40
c23   16.9   26.56
c24   16.1   25.70
c25   16.1   25.77
c26   16.0   25.27
c27   15.8   25.73
c28   15.4   25.41
c29   15.2   25.02
c30   15.2   24.99
c31   15.1   25.94
c32   14.4   25.60
c33   14.0   25.35
c34   14.0   26.16
c35   13.5   25.67
c36   13.4   25.87
c37   13.4   25.76
c38   13.2   25.68
c39   12.8   25.58
c40   12.5   26.26
c41   12.3   25.62
c42   12.3   25.40
c43   11.8   26.00
c44   11.4   26.27
c45   11.2   25.96
c46   11.2   26.32
c47   10.6   25.80
c48   10.6   26.17
c49   10.0   26.35
