#Cepheid data from H0 KP, filtered and reformatted Huib van Langevelde, May 2020
#Data retrieved from https://old.ipac.caltech.edu/H0kp/H0KeyProj.html
#As described in Freedman et al., 2001 ApJ, Vol 553, 1, p47, 2001  and references therein
# for source NGC3621; from file n3621tab3r.data
ID   P     mv     
C01   60.0   23.52
C02   45.5   23.88
C03   44.7   24.38
C04   40.9   23.81
C05   40.7   24.78
C06   39.0   24.82
C07   38.3   23.57
C08   37.7   24.96
C09   34.5   24.09
C10   34.0   24.09
C11   32.7   25.94
C12   32.0   25.23
C13   31.7   24.39
C14   31.5   23.28
C15   31.5   25.20
C16   31.2   24.50
C17   28.3   23.89
C18   27.8   25.30
C19   27.7   23.99
C20   26.4   24.78
C21   26.3   24.81
C22   26.2   24.14
C23   25.6   25.23
C24   25.4   24.28
C25   25.3   25.30
C26   24.7   24.77
C27   24.5   24.60
C28   24.4   24.26
C29   24.4   25.21
C30   23.8   25.54
C31   23.8   24.63
C32   23.5   24.11
C33   23.3   25.96
C34   23.1   24.80
C35   22.8   24.77
C36   22.7   24.79
C37   22.2   24.92
C38   21.5   24.08
C39   21.2   24.70
C40   21.0   24.97
C41   20.7   24.37
C42   19.9   25.16
C43   19.9   23.86
C44   19.2   24.78
C45   18.8   24.43
C46   18.7   24.42
C47   18.5   24.37
C48   18.4   25.18
C49   18.2   25.23
C50   18.0   25.22
C51   17.8   25.01
C52   17.8   24.49
C53   17.5   24.79
C54   17.4   24.63
C55   17.0   25.28
C56   16.5   25.06
C57   16.3   25.17
C58   16.2   25.24
C59   16.2   25.30
C60   14.8   24.81
C61   13.9   25.04
C62   13.8   25.61
C63   13.0   25.12
C64   12.2   25.11
C65   12.1   25.19
C66   11.9   25.57
C67   11.5   25.28
C68   10.0   25.21
C69    9.4   25.49
