#Cepheid data from H0 KP, filtered and reformatted Huib van Langevelde, May 2020
#Data retrieved from https://old.ipac.caltech.edu/H0kp/H0KeyProj.html
#As described in Freedman et al., 2001 ApJ, Vol 553, 1, p47, 2001  and references therein
# for source NGC4321; from file m100cephr.data
ID   P     mv     
C1    85.0   24.99
C2    66.2   25.24
C3    62.1   25.05
C4    54.0   25.16
C5    53.4   25.19
C6    52.0   25.14
C7    50.6   24.78
C8    50.2   25.03
C9    50.1   25.93
C10   50.0   24.81
C11   48.0   25.48
C13   47.0   25.53
C14   46.0   25.00
C15   43.8   25.37
C16   41.8   25.00
C17   41.7   24.99
C18   42.0   25.26
C19   36.4   25.79
C21   40.7   25.34
C23   39.7   25.69
C25   35.1   25.88
C27   34.1   26.32
C31   30.9   25.47
C32   30.9   26.12
C33   31.6   25.77
C35   29.8   26.23
C37   28.9   26.21
C39   28.5   26.10
C40   28.9   26.08
C41   27.2   24.88
C42   26.1   25.79
C43   24.4   25.55
C45   25.8   25.67
C46   26.0   25.34
C47   25.6   26.19
C48   24.7   25.92
C49   24.4   26.37
C50   25.0   26.20
C51   23.9   25.94
C52   23.4   26.46
C53   21.9   26.49
C55   22.5   26.51
C56   21.3   26.27
C59   19.0   25.50
C60   17.1   26.15
C62   17.9   26.07
C63   17.6   26.07
C64   17.1   25.79
C65   15.2   25.78
C66   15.7   26.38
C68   10.9   26.03
C70    7.4   26.35
